userCode,state
TSB254000096,1
TSB254000097,1
TSB254000098,1
TSB254000099,1
TSB254000100,1
TSB254000101,1
TSB254000102,1
TSB254000103,1
TSB254000104,1
TSB254000105,1
TSB254000106,1
TSB254000107,1
TSB254000108,1
TSB254000109,1
TSB254000110,1
TSB254000111,1
TSB254000112,1
TSB254000113,1
TSB254000114,1
TSB254000115,1
TSB254000116,1
TSB254000117,1
TSB254000118,1
TSB254000119,1
TSB254000120,1
TSB254000121,1
TSB254000122,1
TSB254000123,1
TSB254000124,1
TSB254000125,1
TSB254000126,1
TSB254000127,1
TSB254000128,1
TSB254000129,1
TSB254000130,1
TSB254000131,1
TSB254000132,1
TSB254000133,1
TSB254000134,1
TSB254000135,1
TSB254000136,1
TSB254000137,1
TSB254000138,1
TSB254000139,1
TSB254000140,1
TSB254000141,1
TSB254000142,1
TSB254000143,1
TSB254000144,1
TSB254000145,1
TSB254000146,1
TSB254000147,1
TSB254000148,1
TSB254000149,1
TSB254000150,1
TSB254000151,1
TSB254000152,1
TSB254000153,1
TSB254000154,1
TSB254000155,1
TSB254000156,1
TSB254000157,1
TSB254000158,1
TSB254000159,1
TSB254000160,1
TSB254000161,1
TSB254000162,1
TSB254000163,1
TSB254000164,1
TSB254000165,1
TSB254000166,1
TSB254000167,1
TSB254000168,1
TSB254000169,1
TSB254000170,1
TSB254000171,1
TSB254000172,1
TSB254000173,1
TSB254000174,1
TSB254000175,1
TSB254000176,1
TSB254000177,1
TSB254000178,1
TSB254000179,1
TSB254000180,1
TSB254000181,1
TSB254000182,1
TSB254000183,1
TSB254000184,1
TSB254000185,1
TSB254000186,1
TSB254000187,1
TSB254000188,1
TSB254000189,1
TSB254000190,1
TSB254000191,1
TSB254000192,1
TSB254000193,1
TSB254000194,1
TSB254000195,1
TSB254000196,1
TSB254000197,1
TSB254000198,1
TSB254000199,1
TSB254000200,1
TSB254000201,1
TSB254000202,1
TSB254000203,1
TSB254000204,1
TSB254000205,1
TSB254000206,1
TSB254000207,1
TSB254000208,1
TSB254000209,1
TSB254000210,1
TSB254000211,1
TSB254000212,1
TSB254000213,1
TSB254000214,1
TSB254000215,1
TSB254000216,1
TSB254000217,1
TSB254000218,1
TSB254000219,1
TSB254000220,1
TSB254000221,1
TSB254000222,1
